ballot_date,ballot_type,is_federal,is_cantonal,is_municipal,is_e_voting_available,electorate,notes,filename
2014-04-13,election,FALSE,TRUE,FALSE,FALSE,222675,Pouvoir Judiciaire,v201420
2014-04-13,election,FALSE,FALSE,TRUE,FALSE,6064,Election complémentaire Conseil administratif Bernex,v201421
2014-05-18,referendum,TRUE,TRUE,FALSE,TRUE,222697,NA,v201430
2014-09-28,referendum,TRUE,TRUE,FALSE,TRUE,223407,NA,v201440
2014-09-28,election,FALSE,FALSE,TRUE,FALSE,1622,Election complémentaire adjoint au maire Troinex,v201441
2014-09-28,election,FALSE,FALSE,TRUE,FALSE,302,Election complémentaire maire et Conseil municipal Gy,v201442
2014-09-28,election,FALSE,FALSE,TRUE,FALSE,642,Election complémentaire maire Hermance,v201443
2014-11-30,referendum,TRUE,TRUE,FALSE,TRUE,224079,NA,v201450
2015-03-08,referendum,TRUE,TRUE,FALSE,TRUE,224761,NA,v201510
2015-04-19,election,FALSE,FALSE,TRUE,TRUE,310218,Elections municipales + Premier tour élections administratives,v201520
2015-05-10,election,FALSE,FALSE,TRUE,TRUE,239203,Second tour élections administratives,v201530
2015-06-14,referendum,TRUE,TRUE,FALSE,TRUE,247288,NA,v201540
2015-10-18,election,TRUE,FALSE,FALSE,TRUE,249164,Conseil National + Premier tour Conseil des Etats,v201550
2015-11-08,election,TRUE,TRUE,FALSE,TRUE,249171,Second tour élection Conseil des Etats,v201560
2016-02-28,referendum,TRUE,TRUE,FALSE,TRUE,251216,NA,v201610
2016-02-28,referendum,FALSE,FALSE,TRUE,FALSE,121086,Commune de Genève,v201610_21
2016-06-05,referendum,TRUE,TRUE,FALSE,TRUE,253268,NA,v201620
2016-06-05,referendum,FALSE,FALSE,TRUE,FALSE,121860,Commune de Genève,v201620_21
2016-09-25,referendum,TRUE,TRUE,FALSE,TRUE,253988,NA,v201630
2016-09-25,referendum,FALSE,FALSE,TRUE,TRUE,14689,Commune de Meyrin,v201630_30
2016-09-25,referendum,FALSE,FALSE,TRUE,TRUE,1757,Commune de Vandoeuvres,v201630_42
2016-11-27,referendum,TRUE,TRUE,FALSE,TRUE,255267,NA,v201640
2016-11-27,referendum,FALSE,FALSE,TRUE,TRUE,121901,Commune de Genève,v201640_21
2017-02-12,referendum,TRUE,FALSE,FALSE,TRUE,256687,NA,v201710
2017-05-21,referendum,TRUE,TRUE,FALSE,TRUE,257536,NA,v201720
2017-05-21,referendum,FALSE,FALSE,TRUE,TRUE,13242,Commune de Onex,v201720_31
2017-05-21,referendum,FALSE,FALSE,TRUE,TRUE,1645,Commune de Troinex,v201720_41
2017-09-24,referendum,TRUE,TRUE,FALSE,TRUE,259675,NA,v201730
2017-09-24,election,FALSE,FALSE,TRUE,FALSE,1450,Commune de Corsier,v201730_19
2017-09-24,referendum,FALSE,FALSE,TRUE,TRUE,14988,Commune de Carouge,v201730_08
2018-03-04,referendum,TRUE,FALSE,FALSE,TRUE,261541,NA,v201810
2018-03-04,election,FALSE,FALSE,TRUE,TRUE,1461,Election complémentaire adjoint au maire Corsier,v201810_21
2018-03-04,referendum,FALSE,FALSE,TRUE,TRUE,7319,Commune de Bernex,v201810_07
2018-03-04,referendum,FALSE,FALSE,TRUE,TRUE,7956,Commune de Chêne-Bougeries,v201810_12
2018-03-04,referendum,FALSE,FALSE,TRUE,FALSE,122872,Commune de Genève,v201810_19
2018-04-15,election,FALSE,TRUE,FALSE,TRUE,262541,Grand Conseil et premier tour du Conseil d'Etat,v201820
2018-05-06,election,FALSE,TRUE,FALSE,TRUE,262714,Second tour de l'élection du Conseil d'Etat,v201830
2018-06-10,referendum,TRUE,TRUE,FALSE,TRUE,263091,NA,v201840
2018-09-23,referendum,TRUE,FALSE,FALSE,TRUE,264271,NA,v201850
2018-09-23,election,FALSE,FALSE,TRUE,FALSE,1064,Election complémentaire adjoint au maire Collex-Bossy,v201850_15
2018-09-23,election,FALSE,FALSE,TRUE,FALSE,2248,Election complémentaire Conseil administratif Perly-Certoux (1T),v201850_32
2018-10-14,election,FALSE,FALSE,TRUE,FALSE,2238,Election complémentaire Conseil administratif Perly-Certoux (2T),v201860_32
2018-10-14,election,FALSE,FALSE,TRUE,FALSE,23603,Election complémentaire Conseil administratif Vernier (1T),v201860_43
2018-10-14,referendum,FALSE,FALSE,TRUE,FALSE,828,Commune d'Aire-la-Ville,v201860_01
2018-10-14,referendum,FALSE,FALSE,TRUE,FALSE,1606,Commune d'Anières,v201860_02
2018-11-25,referendum,TRUE,FALSE,FALSE,TRUE,264781,NA,v201880
2019-02-10,referendum,TRUE,TRUE,FALSE,TRUE,265510,NA,v201910
2019-02-10,election,FALSE,FALSE,TRUE,FALSE,NA,Election complémentaire conseil municipal Puplinge (no actual ballot because the only candidate got silently elected),NA
2019-04-07,election,FALSE,FALSE,TRUE,FALSE,NA,Election complémentaire maire Collex-Bossy (no actual ballot because the only candidate got silently elected),NA
2019-04-07,referendum,FALSE,FALSE,TRUE,FALSE,NA,Commune de Dardagny,NA
2019-05-19,referendum,TRUE,TRUE,FALSE,TRUE,266358,NA,v201920
2019-10-20,election,TRUE,FALSE,FALSE,FALSE,268337,Conseil National + Premier tour Conseil des Etats,v201940
2019-11-10,election,TRUE,FALSE,FALSE,FALSE,268317,Second tour Conseil des Etats,v201950
2020-02-09,referendum,TRUE,TRUE,FALSE,FALSE,269707,NA,v202010
2020-03-15,election,FALSE,FALSE,TRUE,FALSE,329725,Elections municipales + Premier tour élections administratives,v202020
2020-04-05,election,FALSE,FALSE,TRUE,FALSE,258490,Second tour élections administratives,v202030
